,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
7311,Dhofar 1726,56423.0,Valid,H3,1050.0,Found,2011.0,19.1823,54.88755,"(19.182300, 54.887550)"
7312,Dhofar 1727,56354.0,Valid,H6,453.0,Found,2011.0,19.13952,54.66558,"(19.139520, 54.665580)"
7313,Dhofar 1728,56355.0,Valid,L6,1140.0,Found,2011.0,18.9842,54.64507,"(18.984200, 54.645070)"
7314,Dhofar 1729,56356.0,Valid,H6,482.0,Found,2011.0,19.00318,54.611,"(19.003180, 54.611000)"
7315,Dhofar 173,6957.0,Valid,H6,293.1,Found,2000.0,19.06278,54.56,"(19.062780, 54.560000)"
7316,Dhofar 1730,56357.0,Valid,H6,1763.0,Found,2011.0,18.49222,54.1814,"(18.492220, 54.181400)"
7317,Dhofar 1731,56358.0,Valid,H5,2222.0,Found,2011.0,18.57053,54.164,"(18.570530, 54.164000)"
7318,Dhofar 1732,56359.0,Valid,L6,782.0,Found,2011.0,19.11582,54.59603,"(19.115820, 54.596030)"
7319,Dhofar 1733,57433.0,Valid,L3,7700.0,Found,2011.0,19.15823,54.88668,"(19.158230, 54.886680)"
7320,Dhofar 174,6958.0,Valid,H6,312.9,Found,2000.0,19.06389,54.56389,"(19.063890, 54.563890)"
7321,Dhofar 175,6959.0,Valid,H6,173.0,Found,2000.0,19.0625,54.55222,"(19.062500, 54.552220)"
7322,Dhofar 1753,56591.0,Valid,LL7,21.5,Found,2011.0,19.24528,54.46278,"(19.245280, 54.462780)"
7323,Dhofar 1754,57138.0,Valid,Howardite,580.0,Found,2001.0,19.393,54.55417,"(19.393000, 54.554170)"
7324,Dhofar 176,6960.0,Valid,H4,312.0,Found,2000.0,19.06917,54.53472,"(19.069170, 54.534720)"
7325,Dhofar 177,6961.0,Valid,H6,21.5,Found,2000.0,19.06667,54.5325,"(19.066670, 54.532500)"
7326,Dhofar 178,6962.0,Valid,L6,233.9,Found,2000.0,19.09222,54.50389,"(19.092220, 54.503890)"
7327,Dhofar 179,6963.0,Valid,H5,193.3,Found,2000.0,18.92056,54.61639,"(18.920560, 54.616390)"
7328,Dhofar 180,6964.0,Valid,H5,271.5,Found,2000.0,18.92722,54.57972,"(18.927220, 54.579720)"
7329,Dhofar 181,6965.0,Valid,H5,238.9,Found,2000.0,18.92972,54.57139,"(18.929720, 54.571390)"
7330,Dhofar 182,6966.0,Valid,Eucrite-mmict,255.1,Found,2000.0,18.93833,54.50133,"(18.938330, 54.501330)"
7331,Dhofar 183,6967.0,Valid,L5,1606.3,Found,2000.0,18.84722,54.47306,"(18.847220, 54.473060)"
