,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
20250,Ovid (b),31283.0,Valid,H5,860.0,Found,1943.0,40.75833,-102.375,"(40.758330, -102.375000)"
20251,Owasco,18060.0,Valid,L6,168400.0,Found,1984.0,41.2,-103.68333,"(41.200000, -103.683330)"
20252,Owens Valley,18061.0,Valid,"Iron, IIIAB",192800.0,Found,1913.0,37.46667,-118.0,"(37.466670, -118.000000)"
20253,Oxford,18063.0,Valid,H5,6000.0,Found,1985.0,40.16667,-99.66667,"(40.166670, -99.666670)"
20256,Ozona,18066.0,Valid,H6,127500.0,Found,1929.0,30.73333,-101.3,"(30.733330, -101.300000)"
20258,Page City,18070.0,Valid,"Iron, IVA",13630.0,Found,1980.0,39.16667,-101.28333,"(39.166670, -101.283330)"
20261,Palmersville,18078.0,Valid,H5,9979.0,Found,1908.0,36.4665,-88.60283,"(36.466500, -88.602830)"
20262,Palo Blanco Creek,18080.0,Valid,Eucrite-mmict,1482.0,Found,1954.0,36.5,-104.5,"(36.500000, -104.500000)"
20263,Palo Verde Mine,31284.0,Valid,L6,9158.0,Found,2004.0,34.71457,-114.19142,"(34.714570, -114.191420)"
20264,Paloduro,18081.0,Valid,"Iron, IIIE",3000.0,Found,1935.0,34.9,-101.21667,"(34.900000, -101.216670)"
20290,Panhandle,18096.0,Valid,H5,1360.0,Found,1969.0,35.33333,-101.38333,"(35.333330, -101.383330)"
20301,Park,18104.0,Valid,L6,13000.0,Found,1969.0,39.11,-100.36167,"(39.110000, -100.361670)"
20302,Parma Canyon,18107.0,Valid,Iron,2150.0,Found,1940.0,43.8,-117.0,"(43.800000, -117.000000)"
20305,Patricia,18115.0,Valid,H5,14900.0,Found,1983.0,32.5,-102.03333,"(32.500000, -102.033330)"
20359,Paulding County,18172.0,Valid,Iron,725.0,Found,1901.0,34.0,-84.8,"(34.000000, -84.800000)"
20361,Paymaster Mine,44796.0,Valid,L5,159.0,Found,2004.0,33.18667,-114.91783,"(33.186670, -114.917830)"
20362,Payson,18178.0,Valid,L6,1728.0,Found,2001.0,34.23333,-111.4,"(34.233330, -111.400000)"
20363,Peck's Spring,18182.0,Valid,L5,1600.0,Found,1926.0,32.0,-102.0,"(32.000000, -102.000000)"
20996,Pedernales,34062.0,Valid,"Iron, IAB complex",691.0,Found,1980.0,30.33333,-98.95,"(30.333330, -98.950000)"
20997,Peetz,18783.0,Valid,L6,11500.0,Found,1937.0,40.95,-103.08333,"(40.950000, -103.083330)"
20999,Pelona Mountain,18785.0,Valid,H5,618.0,Found,1999.0,33.66667,-108.1,"(33.666670, -108.100000)"
21001,Penokee,18788.0,Valid,H5,3580.0,Found,1947.0,39.35,-99.91667,"(39.350000, -99.916670)"
21002,Penouille,18789.0,Valid,"Iron, IAB complex",72.54,Found,1984.0,48.85,-64.43333,"(48.850000, -64.433330)"
21003,Pep,18791.0,Valid,OC,591.0,Found,1966.0,33.73,-102.57667,"(33.730000, -102.576670)"
21004,Perryton,18794.0,Valid,LL6,2114.0,Found,1975.0,36.35333,-100.73167,"(36.353330, -100.731670)"
21005,Perryville,18795.0,Valid,"Iron, IIC",17500.0,Found,1906.0,37.73333,-89.85,"(37.733330, -89.850000)"
21006,Persimmon Creek,18796.0,Valid,"Iron, IAB-sLM",5000.0,Found,1893.0,35.05,-84.23333,"(35.050000, -84.233330)"
21010,Phillips County (pallasite),18807.0,Valid,"Pallasite, PMG-an",1360.0,Found,1935.0,40.45,-102.38333,"(40.450000, -102.383330)"
21012,Picacho,18814.0,Valid,"Iron, IIIAB",22000.0,Found,1952.0,33.2,-105.0,"(33.200000, -105.000000)"
21013,Pickens County,18815.0,Valid,H6,400.0,Found,1908.0,34.5,-84.5,"(34.500000, -84.500000)"
21015,Pierceville (iron),18819.0,Valid,"Iron, IIIAB",100000.0,Found,1917.0,37.86667,-100.66667,"(37.866670, -100.666670)"
21016,Pierceville (stone),18820.0,Valid,L6,2125.0,Found,1939.0,37.86667,-100.66667,"(37.866670, -100.666670)"
21018,Pima County,18823.0,Valid,"Iron, IIAB",210.0,Found,1947.0,32.2,-111.0,"(32.200000, -111.000000)"
21019,Pine Bluffs,18824.0,Valid,H,2700.0,Found,1935.0,41.18333,-104.06667,"(41.183330, -104.066670)"
21021,Pine River,18826.0,Valid,"Iron, IAB-sLL",3600.0,Found,1931.0,44.21667,-89.1,"(44.216670, -89.100000)"
21024,Piñon,18828.0,Valid,"Iron, ungrouped",17850.0,Found,1928.0,32.66667,-105.1,"(32.666670, -105.100000)"
21025,Pinto Mountains,18829.0,Valid,L6,17900.0,Found,1954.0,34.0,-115.78333,"(34.000000, -115.783330)"
21026,Pipe Creek,18830.0,Valid,H6,13600.0,Found,1887.0,29.68333,-98.91667,"(29.683330, -98.916670)"
21029,Pittsburg,18838.0,Valid,"Iron, IAB-MG",600.0,Found,1850.0,40.43333,-80.0,"(40.433330, -80.000000)"
21031,Plains,18839.0,Valid,H5,34300.0,Found,1964.0,33.28333,-102.76667,"(33.283330, -102.766670)"
21032,Plains (d),18840.0,Valid,H4,280.0,Found,1991.0,33.26667,-102.9,"(33.266670, -102.900000)"
21033,Plainview (1917),18841.0,Valid,H5,700000.0,Found,1917.0,34.11667,-101.78333,"(34.116670, -101.783330)"
21034,Plainview (1950),18842.0,Valid,H,2200.0,Found,1950.0,34.11667,-101.78333,"(34.116670, -101.783330)"
21035,Plainview (c),18843.0,Valid,OC,631.0,Found,1963.0,34.125,-101.75667,"(34.125000, -101.756670)"
21036,Plainview (d),18844.0,Valid,L6,700.0,Found,1979.0,34.1875,-101.70417,"(34.187500, -101.704170)"
21037,Plainview (e),54437.0,Valid,H5,1250.0,Found,2010.0,34.18513,-101.70558,"(34.185130, -101.705580)"
21045,Pleasanton,18848.0,Valid,H5,2300.0,Found,1935.0,38.18333,-94.71667,"(38.183330, -94.716670)"
21046,Plymouth,18850.0,Valid,"Iron, IIIAB",14000.0,Found,1893.0,41.33333,-86.31667,"(41.333330, -86.316670)"
21051,Point of Rocks (iron),18855.0,Valid,"Iron, IIIAB",18000.0,Found,1956.0,36.5,-104.5,"(36.500000, -104.500000)"
21052,Point of Rocks (stone),18856.0,Valid,L6,800.0,Found,1954.0,36.5,-104.5,"(36.500000, -104.500000)"
21053,Poison Spring,18857.0,Valid,Iron,524.0,Found,1971.0,38.17,-110.36667,"(38.170000, -110.366670)"
21056,Pony Creek,18866.0,Valid,H4,4642.0,Found,1947.0,31.66333,-99.95,"(31.663330, -99.950000)"
21059,Portales (a),18871.0,Valid,H4,3240.0,Found,1967.0,34.06667,-103.5,"(34.066670, -103.500000)"
21060,Portales (b),18872.0,Valid,L6,595.8,Found,1967.0,34.06667,-103.5,"(34.066670, -103.500000)"
21061,Portales (c),18873.0,Valid,H4,6000.0,Found,1967.0,34.1,-103.41667,"(34.100000, -103.416670)"
21062,Portis,18875.0,Valid,L,30.0,Found,1959.0,39.56667,-98.68333,"(39.566670, -98.683330)"
21064,Post,18877.0,Valid,L,2000.0,Found,1965.0,33.11667,-101.38333,"(33.116670, -101.383330)"
21065,Potter,18878.0,Valid,L6,261000.0,Found,1941.0,41.23333,-103.3,"(41.233330, -103.300000)"
21066,Powell Peak 001,54561.0,Valid,H6,42.8,Found,2011.0,34.68222,-114.33046,"(34.682220, -114.330460)"
21067,Powell Peak 002,54526.0,Valid,L4,1062.0,Found,2008.0,34.7049,-114.34572,"(34.704900, -114.345720)"
21068,Powellsville,18880.0,Valid,H5,4310.0,Found,1990.0,38.66667,-82.78333,"(38.666670, -82.783330)"
21069,Prairie Dog Creek,18882.0,Valid,H3.7,2900.0,Found,1893.0,39.63333,-100.5,"(39.633330, -100.500000)"
21074,Primm,18889.0,Valid,H5,3383.0,Found,1997.0,35.66667,-115.36667,"(35.666670, -115.366670)"
21076,Providence,18893.0,Valid,"Iron, IIIAB",6804.0,Found,1903.0,38.56667,-85.23333,"(38.566670, -85.233330)"
21077,Puente del Zacate,18894.0,Valid,"Iron, IIIAB",30790.0,Found,1904.0,27.86667,-101.5,"(27.866670, -101.500000)"
21078,Puente-Ladron,18895.0,Valid,L,7.7,Found,1944.0,34.4,-106.85,"(34.400000, -106.850000)"
21080,Puerto Libertad,18897.0,Valid,L,66.0,Found,1973.0,29.9,-112.68333,"(29.900000, -112.683330)"
21083,Purmela,32771.0,Valid,"Iron, IIF",4500.0,Found,1977.0,29.5,-98.05,"(29.500000, -98.050000)"
21084,Putnam County,18906.0,Valid,"Iron, IVA",32700.0,Found,1839.0,33.25,-83.25,"(33.250000, -83.250000)"
21089,Quartz Mountain,18910.0,Valid,"Iron, IIIAB",4832.0,Found,1935.0,37.2,-116.7,"(37.200000, -116.700000)"
21090,Quartzsite,35634.0,Valid,L4,69.7,Found,2002.0,33.68085,-114.1958,"(33.680850, -114.195800)"
24535,Queretaro,22359.0,Valid,H4,5000.0,Found,1971.0,20.63333,-100.38333,"(20.633330, -100.383330)"
24537,Quinn Canyon,22364.0,Valid,"Iron, IIIAB",1450000.0,Found,1908.0,38.08333,-115.53333,"(38.083330, -115.533330)"
24540,Rabbit Dry Lake,22366.0,Valid,L6,20.0,Found,2000.0,34.44567,-117.01083,"(34.445670, -117.010830)"
24543,Ragged Top,22370.0,Valid,H4,122.7,Found,1997.0,32.44667,-111.34667,"(32.446670, -111.346670)"
24544,Ragland,22372.0,Valid,LL3.4,12100.0,Found,1982.0,34.76778,-103.55,"(34.767780, -103.550000)"
24545,Ragland Hill,56382.0,Valid,H5,11800.0,Found,1980.0,34.78333,-103.66667,"(34.783330, -103.666670)"
24832,Rancho Blanco,22388.0,Valid,Eucrite-mmict,155.0,Found,1987.0,24.3,-102.18333,"(24.300000, -102.183330)"
24833,Rancho de la Pila (1882),22389.0,Valid,"Iron, IIIAB",46500.0,Found,1882.0,24.11667,-104.3,"(24.116670, -104.300000)"
24834,Rancho Gomelia,22391.0,Valid,"Iron, IIIAB",15650.0,Found,1975.0,24.51667,-105.25,"(24.516670, -105.250000)"
24835,Randsburg,44798.0,Valid,L5,112.9,Found,2005.0,35.4005,-117.66617,"(35.400500, -117.666170)"
24836,Ransom,22393.0,Valid,H4,15000.0,Found,1938.0,38.61667,-99.93333,"(38.616670, -99.933330)"
24840,Reager,22401.0,Valid,L6,230.0,Found,1948.0,39.78333,-100.0,"(39.783330, -100.000000)"
24977,Red Deer Hill,22538.0,Valid,L6,2510.0,Found,1975.0,53.075,-105.84167,"(53.075000, -105.841670)"
24978,Red Dry Lake 002,22539.0,Valid,H6,21.5,Found,2001.0,35.65306,-114.02437,"(35.653060, -114.024370)"
24979,Red Dry Lake 003,22540.0,Valid,H6,94.0,Found,2001.0,35.64552,-114.03069,"(35.645520, -114.030690)"
24980,Red Dry Lake 004,22541.0,Valid,H6,13.5,Found,2001.0,35.6464,-114.02849,"(35.646400, -114.028490)"
24981,Red Dry Lake 005,22542.0,Valid,H6,12.0,Found,2001.0,35.64645,-114.02853,"(35.646450, -114.028530)"
24982,Red Dry Lake 006,22543.0,Valid,H4,40.0,Found,2001.0,35.62705,-114.04336,"(35.627050, -114.043360)"
24983,Red Dry Lake 009,22544.0,Valid,H3.6,13.0,Found,2001.0,35.62723,-114.04323,"(35.627230, -114.043230)"
24984,Red Dry Lake 022,22545.0,Valid,H6,17.0,Found,2002.0,35.66185,-114.0271,"(35.661850, -114.027100)"
24985,Red Dry Lake 023,22546.0,Valid,L5,5.9,Found,2002.0,35.66375,-114.02698,"(35.663750, -114.026980)"
24986,Red Dry Lake 024,31306.0,Valid,L5,17.9,Found,2003.0,35.69732,-114.032,"(35.697320, -114.032000)"
24987,Red Dry Lake 025,31307.0,Valid,L5/6,6.55,Found,2003.0,35.67947,-114.04338,"(35.679470, -114.043380)"
24988,Red Dry Lake 028,31308.0,Valid,H4,11.3,Found,2004.0,35.6448,-114.03452,"(35.644800, -114.034520)"
24989,Red Dry Lake 029,31309.0,Valid,H4,5.25,Found,2004.0,35.62682,-114.04373,"(35.626820, -114.043730)"
24990,Red Dry Lake 031,22547.0,Valid,H4,4.8,Found,2002.0,35.69733,-114.06167,"(35.697330, -114.061670)"
24991,Red Dry Lake 063,45969.0,Valid,H4,6.0,Found,2006.0,35.63333,-114.08333,"(35.633330, -114.083330)"
24992,Red Dry Lake 064,45970.0,Valid,H5,6.0,Found,2006.0,35.64133,-114.09,"(35.641330, -114.090000)"
24993,Red Dry Lake 065,45971.0,Valid,L6,3.0,Found,2006.0,35.647,-114.0955,"(35.647000, -114.095500)"
24994,Red Dry Lake 067,52886.0,Valid,L3.4,6.2,Found,2009.0,35.65868,-114.02573,"(35.658680, -114.025730)"
24995,Red Dry Lake 068,52891.0,Valid,H4,26.2,Found,2008.0,35.64,-114.03285,"(35.640000, -114.032850)"
24996,Red Dry Lake 071,52971.0,Valid,H6,4.35,Found,2010.0,35.62453,-114.04688,"(35.624530, -114.046880)"
24997,Red River,22548.0,Valid,"Iron, IIIAB",800000.0,Found,1808.0,32.0,-95.0,"(32.000000, -95.000000)"
