,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
25797,Sayh al Uhaymir 542,55557.0,Valid,H6,2850.0,Found,2011.0,20.51228,57.28327,"(20.512280, 57.283270)"
25798,Sayh al Uhaymir 543,55558.0,Valid,L5/6,3404.0,Found,2011.0,20.51182,57.28693,"(20.511820, 57.286930)"
25799,Sayh al Uhaymir 544,55559.0,Valid,H5,670.0,Found,2011.0,20.38848,57.00298,"(20.388480, 57.002980)"
25800,Sayh al Uhaymir 545,55739.0,Valid,L~6,24.5,Found,2002.0,20.53812,56.66567,"(20.538120, 56.665670)"
25801,Sayh al Uhaymir 546,56095.0,Valid,H5,1031.7,Found,2011.0,20.59947,57.14294,"(20.599470, 57.142940)"
25802,Sayh al Uhaymir 547,56205.0,Valid,L5,2353.0,Found,2011.0,20.09977,56.70507,"(20.099770, 56.705070)"
25803,Sayh al Uhaymir 548,56206.0,Valid,H4,53.8,Found,2011.0,20.23798,56.93035,"(20.237980, 56.930350)"
25804,Sayh al Uhaymir 549,56207.0,Valid,H4,176.2,Found,2011.0,20.50483,56.83407,"(20.504830, 56.834070)"
25805,Sayh al Uhaymir 550,56208.0,Valid,H5,130.9,Found,2011.0,20.4247,56.65013,"(20.424700, 56.650130)"
25806,Sayh al Uhaymir 551,56209.0,Valid,L6,89.7,Found,2011.0,20.77045,57.08912,"(20.770450, 57.089120)"
25807,Sayh al Uhaymir 552,56348.0,Valid,L6,1484.0,Found,2010.0,20.59627,57.15917,"(20.596270, 57.159170)"
25808,Sayh al Uhaymir 553,56349.0,Valid,L4,260.0,Found,2010.0,20.0992,56.59838,"(20.099200, 56.598380)"
25809,Sayh al Uhaymir 554,56350.0,Valid,H6,2022.0,Found,2010.0,20.24095,56.6424,"(20.240950, 56.642400)"
25810,Sayh al Uhaymir 555,56351.0,Valid,H4/5,1324.0,Found,2010.0,20.05132,56.59222,"(20.051320, 56.592220)"
25811,Sayh al Uhaymir 556,56352.0,Valid,H6,2075.0,Found,2011.0,21.04035,57.04358,"(21.040350, 57.043580)"
25812,Sayh al Uhaymir 558,56653.0,Valid,L5,48.5,Found,2004.0,21.06733,57.26767,"(21.067330, 57.267670)"
25813,Schaap-Kooi,23456.0,Valid,H4,2700.0,Found,1910.0,-32.08333,21.33333,"(-32.083330, 21.333330)"
25826,Séguédine,23477.0,Valid,H6,444.0,Found,2002.0,20.81833,12.97333,"(20.818330, 12.973330)"
25853,Shahdad,52642.0,Valid,H5,1074.0,Found,2005.0,30.55383,57.78417,"(30.553830, 57.784170)"
25854,Shalim 001,23514.0,Valid,LL6,286.0,Found,2000.0,18.185,55.11,"(18.185000, 55.110000)"
25855,Shalim 002,23515.0,Valid,L6,1248.0,Found,2000.0,18.70728,55.72135,"(18.707280, 55.721350)"
25856,Shalim 003,23516.0,Valid,H5,10350.0,Found,2001.0,18.18233,55.50183,"(18.182330, 55.501830)"
25857,Shalim 004,23517.0,Valid,H5,10350.0,Found,2001.0,18.18233,55.50183,"(18.182330, 55.501830)"
25858,Shalim 005,23518.0,Valid,H5,344.66,Found,1998.0,18.21432,55.71322,"(18.214320, 55.713220)"
25859,Shalim 006,23519.0,Valid,H6,374.42,Found,1998.0,18.44728,55.92163,"(18.447280, 55.921630)"
25860,Shalim 007,23520.0,Valid,H6,323.85,Found,1998.0,18.52632,55.93298,"(18.526320, 55.932980)"
25861,Shalim 008,51961.0,Valid,H5,323.5,Found,2009.0,18.86795,55.45073,"(18.867950, 55.450730)"
25862,Shalim 009,51962.0,Valid,L6,9472.2,Found,2009.0,18.87253,55.47592,"(18.872530, 55.475920)"
25863,Shalim 010,51963.0,Valid,L6,291.6,Found,2009.0,18.88868,55.43785,"(18.888680, 55.437850)"
25864,Shalim 011,51964.0,Valid,H4,201.2,Found,2009.0,18.90015,55.59347,"(18.900150, 55.593470)"
25865,Shalim 012,51965.0,Valid,H4,101.9,Found,2009.0,18.94255,55.63143,"(18.942550, 55.631430)"
25866,Shalim 013,51966.0,Valid,H4,405.8,Found,2009.0,18.98645,55.58648,"(18.986450, 55.586480)"
25867,Shalim 014,51967.0,Valid,L6,34.1,Found,2009.0,18.99932,55.49522,"(18.999320, 55.495220)"
25868,Shalim 015,55604.0,Valid,L6,184.0,Found,2011.0,18.974,55.089,"(18.974000, 55.089000)"
25869,Shalim 016,56200.0,Valid,H5,84.4,Found,2011.0,18.65148,55.14188,"(18.651480, 55.141880)"
25870,Shalim 017,56201.0,Valid,H5,127.1,Found,2011.0,18.65388,55.1467,"(18.653880, 55.146700)"
25871,Shalim 018,56202.0,Valid,H4,347.8,Found,2011.0,18.89837,55.58187,"(18.898370, 55.581870)"
25872,Shalim 019,56203.0,Valid,H4,19.21,Found,2011.0,18.911,55.5569,"(18.911000, 55.556900)"
25873,Shalim 020,56204.0,Valid,H4-6,24.9,Found,2011.0,18.91123,55.55702,"(18.911230, 55.557020)"
25885,Shişr 001,23539.0,Valid,L6,936.8,Found,2001.0,18.508,53.98733,"(18.508000, 53.987330)"
25886,Shişr 002,23540.0,Valid,H5,88.6,Found,2001.0,18.5875,53.91417,"(18.587500, 53.914170)"
25887,Shişr 003,23541.0,Valid,H5,234.0,Found,2000.0,18.5695,53.91017,"(18.569500, 53.910170)"
25888,Shişr 004,23542.0,Valid,H5,325.7,Found,2001.0,18.58433,53.91367,"(18.584330, 53.913670)"
25889,Shişr 005,23543.0,Valid,H6,445.6,Found,2001.0,18.46617,53.83417,"(18.466170, 53.834170)"
25890,Shişr 006,23544.0,Valid,L3.9,432.0,Found,2000.0,18.415,53.98833,"(18.415000, 53.988330)"
25891,Shişr 007,23545.0,Valid,Ureilite,9024.0,Found,2001.0,18.2925,53.5675,"(18.292500, 53.567500)"
25892,Shişr 008,23546.0,Valid,L5,244.0,Found,2002.0,18.54167,53.99833,"(18.541670, 53.998330)"
25893,Shişr 009,23547.0,Valid,H4,185.0,Found,2001.0,18.56333,53.92667,"(18.563330, 53.926670)"
25894,Shişr 010,23548.0,Valid,L5,17604.0,Found,2001.0,18.55,53.97,"(18.550000, 53.970000)"
25895,Shişr 011,23549.0,Valid,L4,478.0,Found,2001.0,18.55833,53.91333,"(18.558330, 53.913330)"
25896,Shişr 012,31327.0,Valid,H4,802.0,Found,2002.0,18.56167,53.97167,"(18.561670, 53.971670)"
25897,Shişr 013,31328.0,Valid,EH3,120.0,Found,2004.0,18.49167,53.88167,"(18.491670, 53.881670)"
25898,Shişr 014,31329.0,Valid,L5,2579.0,Found,2004.0,18.32883,53.886,"(18.328830, 53.886000)"
25899,Shişr 015,23550.0,Valid,L5,3409.3,Found,2001.0,18.54908,53.9229,"(18.549080, 53.922900)"
25900,Shişr 016,23551.0,Valid,H5,84.48,Found,2001.0,18.4384,53.96892,"(18.438400, 53.968920)"
25901,Shişr 017,23552.0,Valid,H4,12.83,Found,2001.0,18.42322,53.60905,"(18.423220, 53.609050)"
25902,Shişr 018,23553.0,Valid,L6,116.54,Found,2001.0,18.53733,53.93312,"(18.537330, 53.933120)"
25903,Shişr 019,23554.0,Valid,H4,1332.73,Found,2001.0,18.5475,53.8935,"(18.547500, 53.893500)"
25904,Shişr 020,23555.0,Valid,H4-6,2200.72,Found,2001.0,18.55927,53.89155,"(18.559270, 53.891550)"
25905,Shişr 021,23556.0,Valid,H4-6,135.23,Found,2001.0,18.60453,53.88757,"(18.604530, 53.887570)"
25906,Shişr 022,23557.0,Valid,L5,255.25,Found,1998.0,18.1672,53.84555,"(18.167200, 53.845550)"
25907,Shişr 023,23558.0,Valid,L5,841.0,Found,1998.0,18.55287,53.98743,"(18.552870, 53.987430)"
25908,Shişr 024,23559.0,Valid,L5,900.84,Found,1998.0,18.55473,53.99687,"(18.554730, 53.996870)"
25909,Shişr 025,23560.0,Valid,L6,7293.48,Found,1998.0,18.1074,53.8319,"(18.107400, 53.831900)"
25910,Shişr 026,23561.0,Valid,H4,396.56,Found,1998.0,18.12303,53.75478,"(18.123030, 53.754780)"
25911,Shişr 027,23562.0,Valid,H6,61.39,Found,1998.0,18.1413,53.91205,"(18.141300, 53.912050)"
25912,Shişr 028,23563.0,Valid,LL6,818.11,Found,1998.0,18.14277,53.80753,"(18.142770, 53.807530)"
25913,Shişr 029,23564.0,Valid,H5,204.71,Found,1998.0,18.1501,53.80047,"(18.150100, 53.800470)"
25914,Shişr 030,23565.0,Valid,H5,176.28,Found,1998.0,18.1536,53.77487,"(18.153600, 53.774870)"
25915,Shişr 031,23566.0,Valid,L6,503.76,Found,2003.0,18.21335,53.84675,"(18.213350, 53.846750)"
25916,Shişr 032,23567.0,Valid,H5,69.52,Found,2003.0,18.041,53.69267,"(18.041000, 53.692670)"
25917,Shişr 033,23568.0,Valid,CR,1097.72,Found,2002.0,18.34725,53.7477,"(18.347250, 53.747700)"
25918,Shişr 034,23569.0,Valid,H4,73.65,Found,2003.0,18.42062,54.05058,"(18.420620, 54.050580)"
25919,Shişr 035,23570.0,Valid,L6,355.06,Found,2003.0,18.42957,54.04127,"(18.429570, 54.041270)"
25920,Shişr 036,23571.0,Valid,H3,10175.0,Found,2002.0,18.50755,53.99325,"(18.507550, 53.993250)"
25921,Shişr 037,23572.0,Valid,L5,1508.6,Found,2002.0,18.54202,53.93747,"(18.542020, 53.937470)"
25922,Shişr 038,23573.0,Valid,L5,379.85,Found,2002.0,18.54588,53.93378,"(18.545880, 53.933780)"
25923,Shişr 039,23574.0,Valid,L4-5,2123.2,Found,2002.0,18.54723,53.95703,"(18.547230, 53.957030)"
25924,Shişr 040,23575.0,Valid,L4-5,121.41,Found,2002.0,18.54777,53.95012,"(18.547770, 53.950120)"
25925,Shişr 041,23576.0,Valid,L5,1400.2,Found,2002.0,18.55282,53.9355,"(18.552820, 53.935500)"
25926,Shişr 042,23577.0,Valid,L6,393.86,Found,2003.0,18.57452,53.8161,"(18.574520, 53.816100)"
25927,Shişr 043,23578.0,Valid,"Iron, IIIAB",8267.0,Found,2003.0,18.59243,53.81247,"(18.592430, 53.812470)"
25928,Shişr 044,23579.0,Valid,H4,88.48,Found,2003.0,18.15317,53.84195,"(18.153170, 53.841950)"
25929,Shişr 045,34554.0,Valid,H6,2298.0,Found,2005.0,18.15169,53.94822,"(18.151690, 53.948220)"
25930,Shişr 046,34555.0,Valid,L5,182.0,Found,2005.0,18.54864,53.9505,"(18.548640, 53.950500)"
25931,Shişr 047,34556.0,Valid,L6,396.0,Found,2005.0,18.54744,53.99428,"(18.547440, 53.994280)"
25932,Shişr 048,34557.0,Valid,L5/6,375.0,Found,2005.0,18.54747,53.99986,"(18.547470, 53.999860)"
25933,Shişr 100,35716.0,Valid,H4-5,579.1,Found,2002.0,18.20355,53.81112,"(18.203550, 53.811120)"
