,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
776,Pulsora,18899.0,Valid,H5,560.0,Observed,1863.0,23.36667,75.18333,"(23.366670, 75.183330)"
777,Pultusk,18901.0,Valid,H5,250000.0,Observed,1868.0,52.76667,21.26667,"(52.766670, 21.266670)"
778,Punganaru,18902.0,Valid,Stone-uncl,100.0,Observed,1811.0,13.33333,78.95,"(13.333330, 78.950000)"
779,Putinga,18905.0,Valid,L6,300000.0,Observed,1937.0,-29.03333,-53.05,"(-29.033330, -53.050000)"
780,Qidong,18907.0,Valid,L/LL5,1275.0,Observed,1982.0,32.08333,121.5,"(32.083330, 121.500000)"
781,Qingzhen,18908.0,Valid,EH3,2600.0,Observed,1976.0,26.53333,106.46667,"(26.533330, 106.466670)"
782,Queen's Mercy,22357.0,Valid,H6,7000.0,Observed,1925.0,-30.11667,28.7,"(-30.116670, 28.700000)"
783,Quenggouk,22358.0,Valid,H4,6045.0,Observed,1857.0,17.76667,95.18333,"(17.766670, 95.183330)"
784,Quesa,22360.0,Valid,"Iron, IAB-ung",10750.0,Observed,1898.0,39.0,-0.66667,"(39.000000, -0.666670)"
785,Quija,22361.0,Valid,H,17450.0,Observed,1990.0,44.61667,126.13333,"(44.616670, 126.133330)"
786,Quincay,22363.0,Valid,L6,65.0,Observed,1851.0,46.6,0.25,"(46.600000, 0.250000)"
787,Raco,22368.0,Valid,H5,5000.0,Observed,1957.0,-26.66667,-65.45,"(-26.666670, -65.450000)"
788,Raghunathpura,22371.0,Valid,"Iron, IIAB",10200.0,Observed,1986.0,27.72528,76.465,"(27.725280, 76.465000)"
789,Rahimyar Khan,31302.0,Valid,L5,67225.0,Observed,1983.0,28.225,70.2,"(28.225000, 70.200000)"
790,Rakovka,22376.0,Valid,L6,9000.0,Observed,1878.0,52.98333,37.03333,"(52.983330, 37.033330)"
791,Ramnagar,22384.0,Valid,L6,3766.0,Observed,1940.0,26.45,82.9,"(26.450000, 82.900000)"
792,Rampurhat,22385.0,Valid,LL,100.0,Observed,1916.0,24.16667,87.76667,"(24.166670, 87.766670)"
793,Ramsdorf,22386.0,Valid,L6,4682.0,Observed,1958.0,51.88333,6.93333,"(51.883330, 6.933330)"
794,Ranchapur,22387.0,Valid,H4,290.4,Observed,1917.0,23.98333,87.08333,"(23.983330, 87.083330)"
